reporter,date,document_id,title,year,abstract,authors,document_type,pubtitle,document_url
nina,1902-11-22,530299873,A QUESTION FOR THE SUPREME BENCH.,1902,"Even such a learned justice as Judge Richie, is, now and then, puzzled with respect to the punishment to be meted out to certain young criminals of the colored race.",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/question-supreme-bench/docview/530299873/sem-2?accountid=14696
nina,1902-12-13,530245302,THE BOARD OF ESTIMATES AND NEGLECTED COLORED CHILDREN,1902,"The board of estimates of our city government is composed of Mayor Hayes, Comptroller J. H. Smith, City Enginesr Fendell and Mr. Henry Williams, president of the Second...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/board-estimates-neglected-colored-children/docview/530245302/sem-2?accountid=14696
nina,1903-03-07,530230939,THE REBELLION AT MELVALE,1903,A few days ago the daily papers gave an interesting acconnt ofa very painful occurrence in connection with the Industrial Homnc for Colored Girls.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/rebellion-at-melvale/docview/530230939/sem-2?accountid=14696
nina,1903-03-14,530226308,EX-SENATOR WELLINGTON.,1903,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/ex-senator-wellington/docview/530226308/sem-2?accountid=14696
nina,1903-04-25,530243965,THE NEGRO AS A FOOTBALL.,1903,"Whether in politics of In the world at large, the Negro seems to fulfill the function of a foot ball to the great delight of his Anglo-Saxon neighbors.",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/negro-as-football/docview/530243965/sem-2?accountid=14696
nina,1903-05-23,530240607,"MR, GRASTY'S IMPRESSIONS",1903,"Mr. Grasty; the Secretary of the Board of Supervisors of City Cbarities, has been visiting in the South, and incidently, he made a visit to Tuskegee.",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/mr-grastys-impressions/docview/530240607/sem-2?accountid=14696
nina,1905-01-14,530261645,CHELTENHAM AGAIN,1905,"It is now almost a matter of periodical expectation that, once in a while, the Grand Juries will in severe language condemn the irregularities and delinquencies of the House of...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/cheltenham-again/docview/530261645/sem-2?accountid=14696
nina,1907-12-07,530287147,INDUSTRIAL FAIR CLOSES.,1907,"The State Industrial Fair, under the auspices of the Most Worshipful United Grand Lodge, F. & a. Masons, of Maryland, which opened on Monday, November 25th, in the...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/industrial-fair-closes/docview/530287147/sem-2?accountid=14696
nina,1910-08-06,530337854,ATHLETIC NOTES.,1910,Health is power.,"Beckett, W",article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/athletic-notes/docview/530337854/sem-2?accountid=14696
nina,1912-03-02,530319989,A WHITE MAN WHO IS A FRIEND IN DEED,1912,"There is a white man, in this state, not a politician, but a plain country man, who is doing as much as any other one man in this state for the highest and best welfare of...",NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/white-man-who-is-friend-deed/docview/530319989/sem-2?accountid=14696
